Player_Name,Player_ID
A Mhatre,1
DP Conway,2
Urvil Patel,3
R Ashwin,4
RA Jadeja,5
D Brevis,6
S Dube,7
MS Dhoni,8
A Kamboj,9
Noor Ahmad,10
YBK Jaiswal,11
V Suryavanshi,12
SV Samson,13
R Parag,14
Dhruv Jurel,15
SO Hetmyer,16
Rahmanullah Gurbaz,17
SP Narine,18
AM Rahane,19
A Raghuvanshi,20
VR Iyer,21
RK Singh,22
AD Russell,23
R Powell,24
AS Roy,25
Harshit Rana,26
CV Varun,27
Abishek Porel,28
KK Nair,29
F du Plessis,30
KL Rahul,31
AR Patel,32
T Stubbs,33
V Nigam,34
Ashutosh Sharma,35
MA Starc,36
PVD Chameera,37
Kuldeep Yadav,38
AK Markram,39
MR Marsh,40
N Pooran,41
RR Pant,42
A Badoni,43
Abdul Samad,44
SN Thakur,45
SK Rasheed,46
R Ravindra,47
RA Tripathi,48
V Shankar,49
Priyansh Arya,50
P Simran Singh,51
JP Inglis,52
SS Iyer,53
N Wadhera,54
MP Stoinis,55
Shashank Singh,56
Musheer Khan,57
Azmatullah Omarzai,58
Harpreet Brar,59
KA Jamieson,60
PD Salt,61
V Kohli,62
MA Agarwal,63
RM Patidar,64
RG Sharma,65
JM Bairstow,66
Tilak Varma,67
SA Yadav,68
HH Pandya,69
Naman Dhir,70
RA Bawa,71
MJ Santner,72
B Sai Sudharsan,73
Shubman Gill,74
JC Buttler,75
M Shahrukh Khan,76
SE Rutherford,77
K Rabada,78
Rashid Khan,79
R Sai Kishore,80
RD Rickelton,81
R Minz,82
BKG Mendis,83
Washington Sundar,84
R Tewatia,85
GJ Maxwell,86
M Jansen,87
TM Head,88
Abhishek Sharma,89
H Klaasen,90
Ishan Kishan,91
DA Miller,92
Q de Kock,93
Ramandeep Singh,94
N Rana,95
Suryansh Shedge,96
Arshdeep Singh,97
LH Ferguson,98
WG Jacks,99
J Fraser-McGurk,100
Sameer Rizvi,101
RD Gaikwad,102
MP Breetzke,103
LS Livingstone,104
JM Sharma,105
MM Sharma,106
JG Bethell,107
D Padikkal,108
KH Pandya,109
TH David,110
MM Ali,111
Arshad Khan,112
Aniket Verma,113
Nithish Kumar Reddy,114
A Manohar,115
PJ Cummins,116
R Shepherd,117
B Kumar,118
Yash Dayal,119
L Ngidi,120
PHKD Mendis,121
Simarjeet Singh,122
Mohammed Shami,123
SH Johnson,124
Avesh Khan,125
HV Patel,126
MS Bhandage,127
JR Hazlewood,128
Shahbaz Ahmed,129
Ravi Bishnoi,130
MK Pandey,131
VG Arora,132
KS Rathore,133
PWH de Silva,134
SB Dubey,135
JC Archer,136
M Theekshana,137
TU Deshpande,138
Sandeep Sharma,139
Sediqullah Atal,140
C Bosch,141
DL Chahar,142
KV Sharma,143
G Coetzee,144
Prince Yadav,145
DS Rathi,146
TA Boult,147
PVSN Raju,148
DJ Hooda,149
SM Curran,150
D Ferreira,151
MJ Owen,152
KT Maphaka,153
K Kartikeya,154
J Overton,155
PWA Mulder,156
Akash Deep,157
KK Ahmed,158
M Tiwari,159
Mustafizur Rahman,160
JJ Bumrah,161
Akash Madhwal,162
Mohammed Siraj,163
Fazalhaq Farooqi,164
Atharva Taide,165
XC Bartlett,166
Yudhvir Singh,167
M Pathirana,168
Mukesh Kumar,169
Suyash Sharma,170
Vijaykumar Vyshak,171
YS Chahal,172
RJW Topley,173
Ashwani Kumar,174
Mujeeb Ur Rahman,175
I Sharma,176
M Prasidh Krishna,177
RJ Gleeson,178
E Malinga,179
Zeeshan Ansari,180
Yash Thakur,181
T Natarajan,182
Mukesh Choudhary,183
N Thushara,184
Akash Singh,185
W O'Rourke,186
Karim Janat,187
JD Unadkat,188
Harsh Dubey,189
Rasikh Salam,190
M Siddharth,191
A Zampa,192
A Nortje,193
K Khejroliya,194
P Dubey,195
MP Yadav,196
NT Ellis,197
V Puthur,198
RD Chahar,199
C Sakariya,200
